id,source_url,source_trust,company_name,industry_sector,raw_text_snippet,location,extracted_keywords,recommended_product,secondary_product,urgency_score,confidence_score,status,created_at,normalized_company,is_verified,priority_score
d13ee89c-2353-40e4-b34d-32a95a951e92,https://dgft.gov.in/tenders/news/signal-0,98,Jindal Ltd,Road Construction,"notice: jindal ltd is initiating a bridge building in kolkata, wb. this development indicates immediate requirement for bitumen.","Jamshedpur, JH","tarmac, NHAI, civil works",Bitumen,LDO (Machinery fuel),4,0.95,New,2026-01-14,Jindal,True,6.199999999999999
a698cfe0-edf6-4a72-a704-3c5939bb6c75,https://economictimes.indiatimes.com/news/signal-1,95,L&T Enterprises,Road Construction,"notice: l&t enterprises is initiating a pavement resurfacing in nagpur, mh. this development indicates immediate requirement for bitumen.","Kolkata, WB","tarmac, NHAI, civil works",Bitumen,LDO (Machinery fuel),6,0.95,New,2026-01-08,L&T,True,7.3999999999999995
9f0bd312-40b5-4e9c-a803-ce16def32202,https://industry-news-wire.in/news/signal-2,70,Tata Enterprises,Textiles (Jute),"notice: tata enterprises is initiating a jute mill modernization in ahmedabad, gj. this development indicates immediate requirement for jbo (jute batching oil).","Nagpur, MH","fibre, hessian, batching",JBO (Jute Batching Oil),LDO (Genset fuel),7,0.81,New,2026-02-05,Tata,False,7.44
d3946603-6a51-4e2e-b881-42aa9f0c5224,https://dgft.gov.in/tenders/news/signal-3,98,UltraTech Industries,Road Construction,"notice: ultratech industries is initiating a expressway construction in nagpur, mh. this development indicates immediate requirement for bitumen.","Ahmedabad, GJ","tarmac, NHAI, civil works",Bitumen,LDO (Machinery fuel),5,0.89,New,2026-02-03,Ultratech,True,6.5600000000000005
c396aa99-ada7-4e18-8907-caf15c959ff2,https://industry-news-wire.in/news/signal-4,70,Adani Industries,Textiles (Jute),"notice: adani industries is initiating a batching oil procurement in nagpur, mh. this development indicates immediate requirement for jbo (jute batching oil).","Nagpur, MH","fibre, hessian, batching",JBO (Jute Batching Oil),LDO (Genset fuel),4,0.76,New,2026-01-09,Adani,False,5.4399999999999995
1db58d22-4c0e-4716-861f-8721f8f368c8,https://industry-news-wire.in/news/signal-5,70,L&T Ltd,Manufacturing (Steel/Glass),"notice: l&t ltd is initiating a boiler capacity expansion in ahmedabad, gj. this development indicates immediate requirement for furnace oil (fo).","Visakhapatnam, AP","thermal, smelting, billets",Furnace Oil (FO),LSHS (Low Sulphur fuel),5,0.8,New,2026-01-13,L&T,False,6.2
8f937a3a-29b0-40ce-97b8-aca0491afe71,https://industry-news-wire.in/news/signal-6,70,JSW Infra,Textiles (Jute),"notice: jsw infra is initiating a jute mill modernization in ahmedabad, gj. this development indicates immediate requirement for jbo (jute batching oil).","Ahmedabad, GJ","fibre, hessian, batching",JBO (Jute Batching Oil),LDO (Genset fuel),7,0.92,New,2026-01-16,Jsw,False,7.880000000000001
48c04ba5-fe53-4483-8f58-3e4ddf112dde,https://industry-news-wire.in/news/signal-7,70,JSW Industries,Chemical & Solvents,"notice: jsw industries is initiating a edible oil refinery setup in kolkata, wb. this development indicates immediate requirement for hexane.","Ahmedabad, GJ","extraction, purification, solvent",Hexane,Solvent 1425,5,0.92,New,2026-01-25,Jsw,False,6.68
75f398b5-3b5b-42dd-a837-bfe4f1b09d38,https://industry-news-wire.in/news/signal-8,70,Jindal Industries,Power & Logistics,"notice: jindal industries is initiating a port bunkering service in jamshedpur, jh. this development indicates immediate requirement for ldo.","Kolkata, WB","genset, marine, backup",LDO,HSD (High Speed Diesel),5,0.89,New,2026-01-02,Jindal,False,6.5600000000000005
8bcfaaff-7a33-4cfc-a343-2890e229ff5b,https://dgft.gov.in/tenders/news/signal-9,98,Reliance Enterprises,Road Construction,"notice: reliance enterprises is initiating a expressway construction in jamshedpur, jh. this development indicates immediate requirement for bitumen.","Kolkata, WB","tarmac, NHAI, civil works",Bitumen,LDO (Machinery fuel),6,0.87,New,2026-01-06,Reliance,True,7.08
d2babe12-a0ac-44fe-bc31-7d837a0d0da9,https://industry-news-wire.in/news/signal-10,70,Birla Infra,Manufacturing (Steel/Glass),"notice: birla infra is initiating a heat treatment plant in jamshedpur, jh. this development indicates immediate requirement for furnace oil (fo).","Chennai, TN","thermal, smelting, billets",Furnace Oil (FO),LSHS (Low Sulphur fuel),4,0.76,New,2026-01-23,Birla,False,5.4399999999999995
a73fa7b0-d84e-424a-97b0-90fcdd6f2747,https://industry-news-wire.in/news/signal-11,70,UltraTech Ltd,Chemical & Solvents,"notice: ultratech ltd is initiating a industrial cleaning unit in nagpur, mh. this development indicates immediate requirement for hexane.","Visakhapatnam, AP","extraction, purification, solvent",Hexane,Solvent 1425,4,0.82,New,2026-01-24,Ultratech,False,5.68
174d8e4c-4657-44fc-aace-bcfe37c1b4df,https://dgft.gov.in/tenders/news/signal-12,98,Birla Infra,Power & Logistics,"notice: birla infra is initiating a port bunkering service in jamshedpur, jh. this development indicates immediate requirement for ldo.","Ahmedabad, GJ","genset, marine, backup",LDO,HSD (High Speed Diesel),6,0.83,New,2026-01-06,Birla,True,6.92
5c3fa983-d30b-491b-876d-bede98d3b411,https://dgft.gov.in/tenders/news/signal-13,98,Jindal Infra,Power & Logistics,"notice: jindal infra is initiating a dg set maintenance in kolkata, wb. this development indicates immediate requirement for ldo.","Visakhapatnam, AP","genset, marine, backup",LDO,HSD (High Speed Diesel),6,0.89,New,2026-01-03,Jindal,True,7.16
d937424a-9b48-4f82-8b85-b818d4eafabb,https://industry-news-wire.in/news/signal-14,70,Tata Industries,Manufacturing (Steel/Glass),"notice: tata industries is initiating a boiler capacity expansion in jamshedpur, jh. this development indicates immediate requirement for furnace oil (fo).","Ahmedabad, GJ","thermal, smelting, billets",Furnace Oil (FO),LSHS (Low Sulphur fuel),7,0.83,New,2026-01-02,Tata,False,7.52
d9772293-ee60-47b1-92ac-94830511ca14,https://industry-news-wire.in/news/signal-15,70,Adani Group,Textiles (Jute),"notice: adani group is initiating a jute mill modernization in nagpur, mh. this development indicates immediate requirement for jbo (jute batching oil).","Ahmedabad, GJ","fibre, hessian, batching",JBO (Jute Batching Oil),LDO (Genset fuel),4,0.79,New,2026-01-06,Adani,False,5.5600000000000005
31f585a6-eadd-4961-84d4-d51587238133,https://dgft.gov.in/tenders/news/signal-16,98,GMR Ltd,Road Construction,"notice: gmr ltd is initiating a nhai highway project in ahmedabad, gj. this development indicates immediate requirement for bitumen.","Chennai, TN","tarmac, NHAI, civil works",Bitumen,LDO (Machinery fuel),6,0.82,New,2026-01-22,Gmr,True,6.879999999999999
1bb4b944-4ba6-45a1-a037-79033db414c8,https://dgft.gov.in/tenders/news/signal-17,98,Vedanta Infra,Textiles (Jute),"notice: vedanta infra is initiating a fibre softening process in nagpur, mh. this development indicates immediate requirement for jbo (jute batching oil).","Kolkata, WB","fibre, hessian, batching",JBO (Jute Batching Oil),LDO (Genset fuel),5,0.94,New,2026-01-20,Vedanta,True,6.76
5047de46-b97c-4ba4-9625-9e81384b5458,https://dgft.gov.in/tenders/news/signal-18,98,JSW Infra,Chemical & Solvents,"notice: jsw infra is initiating a industrial cleaning unit in kolkata, wb. this development indicates immediate requirement for hexane.","Visakhapatnam, AP","extraction, purification, solvent",Hexane,Solvent 1425,5,0.92,New,2026-01-01,Jsw,True,6.68
e675d9a1-0fdc-4cf5-9418-af9cd61369af,https://industry-news-wire.in/news/signal-19,70,L&T Industries,Chemical & Solvents,"notice: l&t industries is initiating a solvent extraction unit in jamshedpur, jh. this development indicates immediate requirement for hexane.","Nagpur, MH","extraction, purification, solvent",Hexane,Solvent 1425,6,0.77,New,2026-01-22,L&T,False,6.68
105a7b49-01a4-4e2b-bc7a-33157378b48f,https://economictimes.indiatimes.com/news/signal-20,95,UltraTech Enterprises,Power & Logistics,"notice: ultratech enterprises is initiating a port bunkering service in chennai, tn. this development indicates immediate requirement for ldo.","Nagpur, MH","genset, marine, backup",LDO,HSD (High Speed Diesel),7,0.96,New,2026-02-04,Ultratech,True,8.04
181d3771-2b6b-4c72-a1a5-8d76722000d6,https://economictimes.indiatimes.com/news/signal-21,95,Vedanta Ltd,Textiles (Jute),"notice: vedanta ltd is initiating a jute mill modernization in kolkata, wb. this development indicates immediate requirement for jbo (jute batching oil).","Chennai, TN","fibre, hessian, batching",JBO (Jute Batching Oil),LDO (Genset fuel),4,0.91,New,2026-01-02,Vedanta,True,6.04
851c38ce-c497-4e56-9769-89f9e2df42f7,https://economictimes.indiatimes.com/news/signal-22,95,Jindal Industries,Chemical & Solvents,"notice: jindal industries is initiating a edible oil refinery setup in kolkata, wb. this development indicates immediate requirement for hexane.","Chennai, TN","extraction, purification, solvent",Hexane,Solvent 1425,7,0.86,New,2026-01-01,Jindal,True,7.640000000000001
4300f41d-163f-4979-afc7-1626dd1dd298,https://dgft.gov.in/tenders/news/signal-23,98,Jindal Infra,Textiles (Jute),"notice: jindal infra is initiating a batching oil procurement in ahmedabad, gj. this development indicates immediate requirement for jbo (jute batching oil).","Nagpur, MH","fibre, hessian, batching",JBO (Jute Batching Oil),LDO (Genset fuel),5,0.79,New,2026-01-04,Jindal,True,6.16
58e4f7f4-ec27-463c-909e-dfd5021cefcd,https://dgft.gov.in/tenders/news/signal-24,98,Adani Infra,Textiles (Jute),"notice: adani infra is initiating a fibre softening process in ahmedabad, gj. this development indicates immediate requirement for jbo (jute batching oil).","Kolkata, WB","fibre, hessian, batching",JBO (Jute Batching Oil),LDO (Genset fuel),4,0.8,New,2026-01-09,Adani,True,5.6
c64d9fd6-1292-4ed8-a98b-880764478e84,https://industry-news-wire.in/news/signal-25,70,Vedanta Industries,Road Construction,"notice: vedanta industries is initiating a expressway construction in nagpur, mh. this development indicates immediate requirement for bitumen.","Kolkata, WB","tarmac, NHAI, civil works",Bitumen,LDO (Machinery fuel),5,0.96,New,2026-02-01,Vedanta,False,6.84
4dae1d8b-dc1e-4642-b20a-93857f88ec82,https://economictimes.indiatimes.com/news/signal-26,95,Tata Infra,Textiles (Jute),"notice: tata infra is initiating a fibre softening process in jamshedpur, jh. this development indicates immediate requirement for jbo (jute batching oil).","Ahmedabad, GJ","fibre, hessian, batching",JBO (Jute Batching Oil),LDO (Genset fuel),4,0.87,New,2026-01-12,Tata,True,5.88
d2542880-c91b-4fb6-835f-57b64980d884,https://industry-news-wire.in/news/signal-27,70,L&T Ltd,Power & Logistics,"notice: l&t ltd is initiating a port bunkering service in jamshedpur, jh. this development indicates immediate requirement for ldo.","Chennai, TN","genset, marine, backup",LDO,HSD (High Speed Diesel),7,0.76,New,2026-01-16,L&T,False,7.24
2d1c68eb-b135-4d30-b8a8-a95f823ac07c,https://economictimes.indiatimes.com/news/signal-28,95,Birla Infra,Chemical & Solvents,"notice: birla infra is initiating a edible oil refinery setup in ahmedabad, gj. this development indicates immediate requirement for hexane.","Ahmedabad, GJ","extraction, purification, solvent",Hexane,Solvent 1425,7,0.89,New,2026-01-01,Birla,True,7.76
d4825102-8000-4aff-9ddb-97bf0422cd0a,https://dgft.gov.in/tenders/news/signal-29,98,UltraTech Industries,Road Construction,"notice: ultratech industries is initiating a pavement resurfacing in chennai, tn. this development indicates immediate requirement for bitumen.","Kolkata, WB","tarmac, NHAI, civil works",Bitumen,LDO (Machinery fuel),4,0.84,New,2026-01-18,Ultratech,True,5.76
0bbc9154-4dfa-446f-9225-290020957f2f,https://economictimes.indiatimes.com/news/signal-30,95,JSW Industries,Power & Logistics,"notice: jsw industries is initiating a captive power plant backup in jamshedpur, jh. this development indicates immediate requirement for ldo.","Kolkata, WB","genset, marine, backup",LDO,HSD (High Speed Diesel),7,0.91,New,2026-01-27,Jsw,True,7.84
61544a44-6849-4ffb-8d5a-4ddd07541d8c,https://dgft.gov.in/tenders/news/signal-31,98,Birla Ltd,Chemical & Solvents,"notice: birla ltd is initiating a industrial cleaning unit in chennai, tn. this development indicates immediate requirement for hexane.","Visakhapatnam, AP","extraction, purification, solvent",Hexane,Solvent 1425,4,0.84,New,2026-01-29,Birla,True,5.76
a055be86-ec8d-446f-bb21-c41ade2abc84,https://industry-news-wire.in/news/signal-32,70,GMR Group,Road Construction,"notice: gmr group is initiating a expressway construction in kolkata, wb. this development indicates immediate requirement for bitumen.","Visakhapatnam, AP","tarmac, NHAI, civil works",Bitumen,LDO (Machinery fuel),6,0.77,New,2026-01-16,Gmr,False,6.68
1099bb90-9b38-47a9-9934-3af3ed51b37a,https://economictimes.indiatimes.com/news/signal-33,95,L&T Ltd,Road Construction,"notice: l&t ltd is initiating a pavement resurfacing in ahmedabad, gj. this development indicates immediate requirement for bitumen.","Kolkata, WB","tarmac, NHAI, civil works",Bitumen,LDO (Machinery fuel),7,0.81,New,2026-01-22,L&T,True,7.44
a6d63fd1-f4c9-40ba-a893-7d838c1e81cf,https://economictimes.indiatimes.com/news/signal-34,95,Jindal Infra,Chemical & Solvents,"notice: jindal infra is initiating a edible oil refinery setup in nagpur, mh. this development indicates immediate requirement for hexane.","Visakhapatnam, AP","extraction, purification, solvent",Hexane,Solvent 1425,5,0.76,New,2026-02-03,Jindal,True,6.04
